EncounterType/encounter_type/=MegaCorpMilitaryInterventiondescription|Extremely advanced troops are being deployed in this area, as the MegaCorp decides to take things in its own hands.
EncounterType/encounter_type/=MegaCorpNukedisplay_name|Incoming Nuke
EncounterType/encounter_type/=MegaCorpNukedescription|The ruling MegaCorp decided to start from zero with a clean slate, and a nuke is their weapon of choice.
EncounterType/encounter_type/=MegaCorpBailoutdisplay_name|MegaCorp Bailout
EncounterType/encounter_type/=MegaCorpBailoutdescription|The MegaCorp is bailing out a subsidiary with a massive injection of credits.
EncounterType/encounter_type/=ConvertCitizens_Religiondescription|In good or difficult times, converts to the faith are to be found.
EncounterType/encounter_type/=ConvertWorshipers_Religiondescription|Worshippers of other faiths may be open to a different gospel. But their religious leaders will cry foul.
EncounterType/encounter_type/=ConvertCultists_Religiondisplay_name|Convert Cultists
EncounterType/encounter_type/=ConvertCultists_Religiondescription|Former cultists are being brought into the flock of a corporate recognized religion.
EncounterType/encounter_type/=SueCult_Religiondisplay_name|Sue Cult
EncounterType/encounter_type/=SueCult_Religiondescription|Cults are illegal organizations that give religious organizations a bad name. They are being served.
EncounterType/encounter_type/=CommunityService_Religiondisplay_name|Community Service
EncounterType/encounter_type/=CommunityService_Religiondescription|Religious organizations have mobilized their members to support their district's homeless.
EncounterType/encounter_type/=ImproprietyScandal_Religiondisplay_name|Impropriety Scandal
EncounterType/encounter_type/=ImproprietyScandal_Religiondescription|Religious leadership has been caught in a scandal. Some worshippers are turning to a different sect of the faith in protest.
EncounterType/encounter_type/=ChrasmaticPreacher_Religiondisplay_name|ChrasmaticPreacher
EncounterType/encounter_type/=ChrasmaticPreacher_Religiondescription|A new preacher has become very popular and bringing many new worshippers to the sect.
EncounterType/encounter_type/=RebuildPlaceOfWorship_Religiondisplay_name|Rebuild Place Of Worship
EncounterType/encounter_type/=RebuildPlaceOfWorship_Religiondescription|Worshippers of [Religious Sect] have collected donations to rebuild a derelict place of worship.
EncounterType/encounter_type/=RallyAgainstCrime_Religiondisplay_name|Rally Against Crime
EncounterType/encounter_type/=RallyAgainstCrime_Religiondescription|Worshippers are upset with the conditions of the district and rallying the community to stand up to organized crime.
EncounterType/encounter_type/=RallyAgainstWorkingConditions_Religiondisplay_name|Rally Against Working Conditions
EncounterType/encounter_type/=RallyAgainstWorkingConditions_Religiondescription|Religious organizations have mobilized their members to protest the terrible working conditions within their district.
EncounterType/encounter_type/=SolarismAgainstSpaceportdisplay_name|Solarism Against Spaceport
EncounterType/encounter_type/=SolarismAgainstSpaceportdescription|Practitioners of Solarism have gathered in mass to protest trading with space nations, disrupting operations.
EncounterType/encounter_type/=SolarismAgainstShellCompanydisplay_name|Solarism Against Shell Company
EncounterType/encounter_type/=SolarismAgainstShellCompanydescription|Practitioners of Solarism are angered with [ShellCompany] for providing goods to space nations. Their zeal is causing unwanted attention from the MegaCorp.
EncounterType/encounter_type/=HardlinersAgainstSpaceportdisplay_name|Hardliners Against Spaceport
EncounterType/encounter_type/=HardlinersAgainstSpaceportdescription|Orthodox Hardliners of Solarism have paid off a PMC to sabotage operations of the space nation.
EncounterType/encounter_type/=ReformersforSpaceportdisplay_name|Reformers For Spaceport
EncounterType/encounter_type/=ReformersforSpaceportdescription|Reformers of Solarism are supporting terraforming efforts within the solar system to remove dependency on space nations.
EncounterType/encounter_type/=OrthodoxCoalitionWithDogmaticVeilistsdisplay_name|Orthodox Solarists Coalition With Traditional Dogmatic Veilists
EncounterType/encounter_type/=OrthodoxCoalitionWithDogmaticVeilistsdescription|Orthodox Hardliners of Solarism have formed a coalition with Traditional Dogmatists of Veilism, based on their mutual resentment of the space nations, to strengthen their respective sects.
EncounterType/encounter_type/=ReformerCoalitionWithBenevolentOrderVeilistsdisplay_name|Solarist Reformers Coalition With Benevolent Order Veilists
EncounterType/encounter_type/=ReformerCoalitionWithBenevolentOrderVeilistsdescription|Reformers of Solarism have formed a coalition with followers of the Benevolent Order of Veilism, based on their mutual admiration of space exploration, to strengthen their respective sects.
EncounterType/encounter_type/=DogmatistCoalitionWithOrthodoxSolaristsdisplay_name|Dogmatic Veilists Coalition With Orthodox Solarists
EncounterType/encounter_type/=DogmatistCoalitionWithOrthodoxSolaristsdescription|Traditional Dogmatists of Veilism have formed a coalition, based on their mutual resentment of the space nations, to strengthen their respective sects.
EncounterType/encounter_type/=BenevolentOrderVeilistsCoalitionWithSolaristReformersdisplay_name|BenevolentOrderVeilistsCoalitionWithSolaristReformers
EncounterType/encounter_type/=BenevolentOrderVeilistsCoalitionWithSolaristReformersdescription|Followers of the Benevolent Order of Veilism have formed a coalition with Solarist Reformers, based on their mutual admiration of space exploration, to strengthen their respective sects.
EncounterType/encounter_type/=DogmatistsAgainstSpaceportdisplay_name|Dogmatists Against Spaceport
EncounterType/encounter_type/=DogmatistsAgainstSpaceportdescription|Traditional Dogmatists of Veilism have gathered in mass to protest trading with space nations, disrupting operations.
EncounterType/encounter_type/=BenevolentOrderforSpaceportdisplay_name|Benevolent Order For Spaceport
EncounterType/encounter_type/=BenevolentOrderforSpaceportdescription|Practitioners from the Benevolent Order of Veilism are supporting terraforming efforts within the solar system in hope that the Benefactors will reveal themselves.
EncounterType/encounter_type/=RevealersforSpaceNationsdisplay_name|Revealers For Space Nations
EncounterType/encounter_type/=RevealersforSpaceNationsdescription|Unorthodox Revealers of Veilism have gathered supplies and worshipers to support relations with the space nations.
EncounterType/encounter_type/=HumanistFlourishersforAugmentsdisplay_name|Humanist Flourishers for Human Augments
EncounterType/encounter_type/=HumanistFlourishersforAugmentsdescription|Humanist Flourishers of Nurturism have gathered in numbers to ritualistically augment themselves, to be better stewards of life.
EncounterType/encounter_type/=ExaltersforUpliftingdisplay_name|ExaltersforAnimalUplifting
EncounterType/encounter_type/=ExaltersforUpliftingdescription|Exalters of Nurturism have collected donations to support the uplifted [species].
EncounterType/encounter_type/=PrunersforCullingPredatorsdisplay_name|Pruners for Culling Predators
EncounterType/encounter_type/=PrunersforCullingPredatorsdescription|A group of extreme Pruners of Nurturism are killing predators in the district.
EncounterType/encounter_type/=ModeratesforSciencedisplay_name|Moderates for Science
EncounterType/encounter_type/=ModeratesforSciencedescription|Moderates of Spirology have collected donations to support scientific research.
EncounterType/encounter_type/=ParadoxicalSpirologistsforAutomationdisplay_name|Paradoxical Spirologists for Automation
EncounterType/encounter_type/=ParadoxicalSpirologistsforAutomationdescription|Paradoxical Spirologists have collected donations to support automation.
EncounterType/encounter_type/=ParadoxicalSpirologistsforMechsdisplay_name|Paradoxical Spirologists for Mechs
EncounterType/encounter_type/=ParadoxicalSpirologistsforMechsdescription|Paradoxical Spirologists have collected donations to buy Mechs for their religious services.
EncounterType/encounter_type/=ResistanceRecruitingdisplay_name|Resistance Recruitment
EncounterType/encounter_type/=ResistanceRecruitingdescription|Resistance operatives are trying to recruit new members in the area.
EncounterType/encounter_type/=ResistanceScoutingdisplay_name|Resistance Scouts
EncounterType/encounter_type/=ResistanceScoutingdescription|Resistance members have been spotted in the area suspiciously observing things.
EncounterType/encounter_type/=ResistanceArmsDealdisplay_name|Resistance Arms Deal
EncounterType/encounter_type/=ResistanceArmsDealdescription|Resistance operatives are in the area to secure a large cache of weapons.
EncounterType/encounter_type/=ResistancePropagandadescription|Pamphlets and audio intercepts point to a somewhat covert propaganda drive being done by the Resistance at this location.
EncounterType/encounter_type/=ResistanceIntelGatheringdisplay_name|Resistance Intel Gathering
EncounterType/encounter_type/=ResistanceIntelGatheringdescription|There is intel of interest to the Resistance in this area, and their operatives have been seen skulking around.
EncounterType/encounter_type/=ResistanceStealVehiclesCiviliandisplay_name|Resistance Steal Civilian Vehicles
EncounterType/encounter_type/=ResistanceStealVehiclesCiviliandescription|Moving around is an eternal necessity, so the Resistance is trying to source transportation.
EncounterType/encounter_type/=ResistanceMoneyLaunderingdisplay_name|Resistance Money Laundering
EncounterType/encounter_type/=ResistanceMoneyLaunderingdescription|Some businesses in this area are a front for the Resistance money laundering activities, and a significant financial operation is ongoing right now.
EncounterType/encounter_type/=ResistanceAmbushdisplay_name|Resistance Ambush
EncounterType/encounter_type/=ResistanceAmbushdescription|The Resistance is launching an ambush in this area.
EncounterType/encounter_type/=ResistanceRaiddisplay_name|Resistance Raids
EncounterType/encounter_type/=ResistanceRaiddescription|Intel indicates the Resistance is launching a raid in the area; if they're interested in resources or something else, we don't know.
EncounterType/encounter_type/=ResistanceSabotagedisplay_name|Resistance Sabotage
EncounterType/encounter_type/=ResistanceSabotagedescription|A sabotage attempt by the Resistance is taking place in this area.
EncounterType/encounter_type/=ResistancePrisonBreakdisplay_name|Resistance Prisoner Rescue
EncounterType/encounter_type/=ResistancePrisonBreakdescription|The Resistance is launching a daring operation to rescue one or more of their accomplices who are currently in custody.
EncounterType/encounter_type/=ResistanceKidnappingdisplay_name|Resistance Kidnapping
EncounterType/encounter_type/=ResistanceKidnappingdescription|The Resistance is trying to kidnap rival individuals who can be of use to their cause.
EncounterType/encounter_type/=ResistanceAssassinationdisplay_name|Resistance Assassination
EncounterType/encounter_type/=ResistanceAssassinationdescription|The Resistance got its sights on a target, and it's taking them down.
EncounterType/encounter_type/=ResistanceStealVehiclesMilitarydisplay_name|Resistance Steal Military Vehicles
EncounterType/encounter_type/=ResistanceStealVehiclesMilitarydescription|The Resistance is punching above its weight to try to secure some military hardware.
EncounterType/encounter_type/=ResistanceStealMoneydisplay_name|Resistance Money Raid
EncounterType/encounter_type/=ResistanceStealMoneydescription|Resistance members are making a play for financial assets in this area.
